0,STOPall,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,4,
,,,,,,,,,,,,4,100
,,,,,,,,,,,,,



























0,SansAnimation,,,,,,,,,,,,
0,SansHead,Closedeyes,,,,,,,,,,,
0,SansText,It's a beautiful day out side as usual.,,,,,,,,,,,
0,SansText,Birds are singing flowers are blooming....,,,,,,,,,,,
0,SansText,On days like these moster like me...,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,,,
0,SansHead,noeyes,,,,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,,,,,
0,SansText,Can't Afford Not To Care Anymore.,,,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,SansBody,HandDown,,,,,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,,,,,
0.26666,SansSlam,1,,,,,,,,,,,
0.5,SansBody,HandUp,,,,,,,,,,,
0,SansHead,NoEyes,,,,,,,,,,,
0,BoneStab,1,54,0.16666,1,,,,,,,,
0.7,HeartMode,0,,,,,,,,,,,
0,SansAnimation,,,,,,,,,,,,
0,Sound,Ding,,,,,,,,,,,
0.4,Sound,GasterBlaster,1.4,,,,,,,,,,
0.4,SineBones,20,-24,360,25,,,,,,,,
0,SineBones,20,24,360,25,,,,,,,,
2.4,SANSBODY,HANDUP,,,,,,,,,,,
0,zk,150,150,,,,,,,,,,
0,SansSlam,3,,,,,,,,,,,
0.2,SansAnimation,,,,,,,,,,,,
0,GasterBlaster,1,320,0,320,126,90,0.4,0.2,,,,
0,GasterBlaster,1,320,480,320,491,270,0.4,0.2,,,,
0,GasterBlaster,1,0,0,189,246,0,0.4,0.2,,,,
0,GasterBlaster,1,640,480,449,366,180,0.4,0.2,,,,
2,SANSBODY,HANDDOWN,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,
0.2,SansAnimation,,,,,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.4,0.2,,,,
0,GasterBlaster,1,640,0,449,176,135,0.4,0.2,,,,
0,GasterBlaster,1,640,480,449,436,225,0.4,0.2,,,,
0,GasterBlaster,1,0,480,189,436,315,0.4,0.2,,,,
1.4,SANSBODY,HANDLEFT,,,,,,,,,,,
0,SansSlam,0,,,,,,,,,,,
0.2,SansAnimation,,,,,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.4,0.2,,,,
0,GasterBlaster,1,0,0,259,166,90,0.4,0.2,,,,
0,GasterBlaster,1,640,480,449,366,180,0.4,0.2,,,,
0,GasterBlaster,1,640,480,379,446,270,0.4,0.2,,,,
1.4,SANSBODY,HANDRIGHT,,,,,,,,,,,
0,SansSlam,2,,,,,,,,,,,
0.2,SansAnimation,,,,,,,,,,,,
0,GasterBlaster,1,0,240,139,306,0,0.4,0.2,,,,
0,GasterBlaster,1,640,240,499,306,180,0.4,0.2,,,,
0,GasterBlaster,1,0,0,259,166,90,0.4,0.2,,,,
0,GasterBlaster,1,640,480,379,446,270,0.4,0.2,,,,
1.4,HeartMode,0,,,,,,,,,,,
0,SOUND,DING,,,,,,,,,,,
0,GasterBlaster,2,0,240,139,306,0,1,0.2,,,,
0,GasterBlaster,2,640,240,499,306,180,1,0.2,,,,
0,GasterBlaster,1,320,0,320,126,90,1,0.2,,,,
0,GasterBlaster,1,320,480,259,491,270,1.6,0.2,,,,
0,GasterBlaster,1,320,480,379,491,270,1.6,0.2,,,,
3,bone,0,284,165,0,500,250,0,0,,,,
,bone,640,284,165,180,500,250,0,0,,,,


2,EndAttack,,,,,,,,,,,,
