0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,552,346,51,2,120,10,140,
0,PlatformRepeat,-20,306,51,0,120,10,160,
0,SET,Loop,12,,,,,,
0,SUB,Loop,$Loop,1,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,640,0,563,$Y,180,0.36666,0.1
0,rnd,zbc,385,,,,,,
0,add,zbc,$zbc,141,,,,,
0,GasterBlaster,0,$zbc,0,$zbc,146,90,0.36666,0.1
0.9,JMPNZ,8,$Loop,,,,,,
0,EndAttack,,,,,,,,
