0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.2,BoneV,503,286,100,2,300,1,,
0.23333,BoneV,503,366,20,2,300,0,,
0,BoneV,503,251,100,2,300,0,,
0.5,BoneV,503,286,100,2,300,1,,
0.23333,BoneV,503,366,20,2,300,0,,
0,BoneV,503,251,100,2,300,0,,
0.5,BoneV,503,286,100,2,300,1,,
0.23333,BoneV,503,366,20,2,300,0,,
0,BoneV,503,251,100,2,300,0,,
0.93333,BoneV,128,366,20,0,300,0,,
0,BoneV,128,251,100,0,300,0,,
0.4,BoneV,128,286,100,0,300,1,,
0.33333,BoneV,128,366,20,0,300,0,,
0,BoneV,128,251,100,0,300,0,,
0.4,BoneV,128,286,100,0,300,1,,
0.33333,BoneV,128,366,20,0,300,0,,
0,BoneV,128,251,100,0,300,0,,
0.4,BoneV,128,286,100,0,300,1,,
1.66666,CombatZoneResize,241,251,406,391,TLResume,,,
0,TLPause,,,,,,,,
0,rnd,jj,2,,,,,,
0,JMPE,32,$jj,1,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.2,0.27
0,GasterBlaster,1,0,0,259,166,90,0.2,0.27
0,GasterBlaster,1,640,480,449,366,180,0.2,0.27
0,GasterBlaster,1,640,480,379,446,270,0.2,0.27
0.9,JMPABS,36,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.2,0.27
0,GasterBlaster,1,640,0,449,176,135,0.2,0.27
0,GasterBlaster,1,640,480,449,436,225,0.2,0.27
0,GasterBlaster,1,0,480,189,436,315,0.2,0.27
,,,,,,,,,
1.2,EndAttack,,,,,,,,
