0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SansSweat,1,,,,,,,
0,sanshead,noeyes,,,,,,,
0.4,sansbody,handup,,,,,,,
0,sansslam,3,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handleft,,,,,,,
0,sansslam,2,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handdown,,,,,,,
0,sansslam,1,,,,,,,
0,GasterBlaster,1,640,480,449,366,180,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handright,,,,,,,
0,sansslam,0,,,,,,,
0,GasterBlaster,1,640,480,379,446,270,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0,BoneHRepeat,130,-10,200,1,300,5,183,
0,BoneHRepeat,330,650,200,3,300,5,183,
0.2,HeartMode,0,,,,,,,
0,sound,ding,,,,,,,
0,SansSweat,2,,,,,,,
0,sanshead,Tired1,,,,,,,
4.6,sansbody,handleft,,,,,,,
0,sansslam,2,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.3,SansBody,HandRight,,,,,,,
0.2,HeartMaxFallSpeed,450,,,,,,,
0,SansSlam,0,,,,,,,
0,CombatZoneResizeInstant,241,226,449,391,,,,
0,CombatZoneSpeed,900,,,,,,,
0,CombatZoneResize,241,226,650,391,,,,
0.33333,HeartMaxFallSpeed,-300,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,CombatZoneResize,-10,226,650,391,,,,
0.3,CombatZoneSpeed,30,,,,,,,
0,CombatZoneResize,-10,226,650,391,,,,
0.9,GetHeartPos,HeartX,HeartY,,,,,,
0,HeartTeleport,140,$HeartY,,,,,,
0,HeartMaxFallSpeed,0,,,,,,,
0,SansSlam,0,,,,,,,
0,SansRepeat,,,,,,,,
0,SineBones,50,24,300,25,,,,
1.6,SansendRepeat,,,,,,,,
4,BoneVRepeat,820,226,100,2,300,4,340,
0,BoneVRepeat,650,291,100,2,300,4,340,
1,GasterBlaster,0,660,270,406,256,180,0,0.2
0,GasterBlaster,0,660,356,406,361,180,0,0.2
1,GasterBlaster,0,660,270,406,256,180,0,0.2
0,GasterBlaster,0,660,356,406,361,180,0,0.2
1,GasterBlaster,0,660,270,406,256,180,0,0.2
0,GasterBlaster,0,660,356,406,361,180,0,0.2
1,GasterBlaster,0,660,270,406,256,180,0,0.2
0,GasterBlaster,0,660,356,406,361,180,0,0.2
,,,,,,,,,
,,,,,,,,,
0.8,SET,Loop,11,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,rnd,ulb,145,,,,,,
0,add,ulb,$ulb,236,,,,,
0,GasterBlaster,0,660,$ulb,406,$ulb,180,0,0.2
0.4,JMPNZ,64,$Loop,,,,,,
0.4,bonev,660,226,160,2,300,2,,
0.4,bonev,660,226,160,2,300,2,,
0.4,bonev,660,226,160,2,300,2,,
2,HeartMaxFallSpeed,330,,,,,,,
0,SansSlam,0,,,,,,,
0,CombatZoneSpeed,540,,,,,,,
0,CombatZoneResize,-10,226,406,391,,,,
0,SansRepeat,,,,,,,,
1.2,SansEndRepeat,,,,,,,,
0,SansHead,Tired1,,,,,,,
0,SansTorso,Default,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,GasterBlaster,1,640,480,379,446,270,0.2,1
1,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0,sansx,320,,,,,,,
0,sanshead,ClosedEyes,,,,,,,
0,SansSweat,3,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0.4,sansbody,handleft,,,,,,,
0,sansslam,2,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handright,,,,,,,
0,sansslam,0,,,,,,,
0,GasterBlaster,1,640,480,379,446,270,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handup,,,,,,,
0,sansslam,3,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.2,0.27
0,GasterBlaster,1,320,480,320,491,270,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sansbody,handdown,,,,,,,
0,sansslam,1,,,,,,,
0,GasterBlaster,1,640,480,449,366,180,0.2,0.27
0.4,SansAnimation,Idle,,,,,,,
0.4,sound,ding,,,,,,,
0,sanshead,noeyes,,,,,,,
0,HeartMode,0,,,,,,,
0,SET,gt,0,,,,,,
0,SET,gin,1,,,,,,
0,MUL,Ang,$gt,-10,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.5,0.35
0,ADD,gt,$gt,$gin,,,,,
