0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,BoneV,15,257,65,0,180,,
0,Platform,15,346,61,0,120,,
0.4,BoneVRepeat,133,356,40,0,120,48,15
1,Platform,-61,316,61,0,150,,
0,BoneV,-40,306,100,0,150,,
0,BoneV,-40,251,20,0,150,,
1.2,Platform,-61,346,61,0,150,,
0,BoneV,-40,257,55,0,150,,
1,Platform,-61,346,61,0,150,,
0,BoneV,-40,257,55,0,150,,
1.6,BoneV,-40,326,70,0,270,,
0,BoneV,-40,251,40,0,270,,
,,,,,,,,
,,,,,,,,
2.6,EndAttack,,,,,,,
